,donorID,amount,language,age,province,gender,gend,prov_01,prov_02,prov_03,prov_04,lang_01,lang_02,lang_03,donor,age_2
22727,103368,30.0,NL,52.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
22836,103390,123.0,NL,56.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
22971,103406,15.0,NL,40.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
23235,103456,30.0,NL,95.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
23640,103510,150.0,NL,61.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
23792,103540,120.0,NL,55.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
23806,103541,120.0,NL,81.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
24170,103597,150.0,NL,63.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
24273,103606,120.0,NL,53.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
24346,103618,75.0,NL,88.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
24378,103620,30.0,NL,30.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
24624,103651,75.0,NL,64.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
24658,103655,270.0,NL,67.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
24897,103685,123.0,NL,56.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
25003,103706,150.0,NL,92.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
25168,103742,300.0,NL,90.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
25312,103754,120.0,NL,48.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
25407,103772,75.0,NL,65.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
25713,103826,120.0,NL,34.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
26160,103890,120.0,NL,78.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
26696,103935,15.0,FR,34.0,Walloon Brabant,F,1,0,0,0,1,0,1,0,0,0
26790,103953,3.75,NL,55.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
26910,103971,30.0,NL,84.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
27070,103991,375.0,NL,67.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
27309,104066,120.0,NL,67.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
27331,104078,120.0,FR,73.0,Liege,F,1,0,0,0,1,0,1,0,1,1
27744,104164,75.0,NL,63.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
28135,104232,60.0,NL,64.0,Antwerp,F,1,1,0,0,1,1,0,0,0,1
28170,104255,75.0,NL,68.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
28309,104280,60.0,NL,63.0,West Flanders,F,1,0,1,0,1,1,0,0,0,1
